bcg_coverage	ba_coverage	ba31_hits	ba31_coverage	bcerg31_coverage	model_fit	model_99pi	ba_detectable	grey_zone	kraken
1	0.03	3960.5	0.016705	0.627145	107.770172732048	439.134873765342	TRUE	TRUE	4670
1	0.04	5412.75	0.022955	0.643775	110.627913721028	441.992614898106	TRUE	TRUE	6302
1	0.05	6729.25	0.028515	0.64534	110.896847253665	442.261548444468	TRUE	TRUE	7772
1	0.06	7971	0.033805	0.643835	110.6382242718	442.002925449403	TRUE	TRUE	9169
1	0.07	9091	0.0387	0.647305	111.234517791449	442.599218999531	TRUE	TRUE	10227
1	0.08	10575.55	0.045185	0.65576	112.68744623774	444.052147520774	TRUE	TRUE	11951
1	0.09	11908.9	0.050985	0.674295	115.872547213732	447.237248664477	TRUE	TRUE	13640
1	0.1	12879.05	0.05543	0.66871	114.91280677937	446.277508179087	TRUE	TRUE	14522
1	0.11	14510.85	0.06243	0.6858	117.849595324269	449.214296881466	TRUE	TRUE	16184
1	0.12	15760.35	0.068165	0.68227	117.242991253848	448.607692778191	TRUE	TRUE	17665
1	0.13	16958.65	0.07345	0.697715	119.89709886508	451.261800534422	TRUE	TRUE	19082
1	0.14	17936.05	0.07788	0.680795	116.989523547369	448.354225058035	TRUE	TRUE	20244
1	0.15	19194	0.083595	0.702715	120.756311429416	452.121013146393	TRUE	TRUE	21725
1	0.16	20459.55	0.08942	0.703645	120.916124966382	452.280826692257	TRUE	TRUE	22819
1	0.17	21797.4	0.09543	0.710875	122.158546334412	453.52324812986	TRUE	TRUE	24294
1	0.18	22951.3	0.100775	0.73031	125.498305571984	456.863007557981	TRUE	FALSE	25701
1	0.19	24317.2	0.106995	0.723295	124.292830344221	455.657532260847	TRUE	FALSE	27133
1	0.2	25626.6	0.11314	0.72652	124.847022448218	456.211724396652	TRUE	FALSE	28516
25	0	2515.75	0.01068	15.276755	2625.19596765529	2956.56225368507	FALSE	TRUE	8904
25	0.0001	2532.8	0.010755	15.276755	2625.19596765529	2956.56225368507	FALSE	TRUE	8922
25	0.0002	2610.25	0.011115	15.177925	2608.21277210863	2939.57903766264	FALSE	TRUE	8966
25	0.0003	2620.55	0.01116	15.177925	2608.21277210863	2939.57903766264	FALSE	TRUE	8980
25	0.0004	2580.15	0.010935	15.16206	2605.48649064199	2936.85275292144	FALSE	TRUE	9131
25	0.0005	2640.15	0.01127	15.22764	2616.75592263582	2948.12219847326	FALSE	TRUE	9158
25	0.0006	2652.2	0.01131	15.22765	2616.75764106095	2948.12391690046	FALSE	TRUE	9174
25	0.0007	2696.05	0.011525	15.236675	2618.30851973957	2949.67479744949	FALSE	TRUE	9144
25	0.0008	2631.5	0.01119	15.264265	2623.04965466958	2954.41593810433	FALSE	TRUE	9160
25	0.0009	2635.2	0.011205	15.282005	2626.09814084784	2957.46442796905	FALSE	TRUE	9080
25	0.001	2758.6	0.01169	15.17825	2608.26862092531	2939.63488654644	FALSE	TRUE	9176
25	0.002	2857	0.012165	15.171925	2607.18171703143	2938.54798134662	FALSE	TRUE	9346
25	0.003	2944.15	0.012485	15.2068	2613.17472466767	2944.54099619031	FALSE	TRUE	9359
25	0.004	3074.6	0.013045	15.173605	2607.47041245304	2938.83667711506	TRUE	TRUE	9552
25	0.005	3219.6	0.01368	15.250065	2620.60949098686	2951.97577147387	TRUE	TRUE	9780
25	0.006	3441.5	0.014635	15.227995	2616.81692672789	2948.18320263888	TRUE	TRUE	9969
25	0.007	3466.9	0.01473	15.18969	2610.23449927251	2941.60076725704	TRUE	TRUE	10183
25	0.008	3775.1	0.01607	15.22695	2616.63735130194	2948.00362699643	TRUE	TRUE	10168
25	0.009	3837.15	0.016295	15.287975	2627.12404064966	2958.49032901242	TRUE	TRUE	10304
25	0.01	3942.6	0.016755	15.21826	2615.14403986513	2946.51031375976	TRUE	TRUE	10585
25	0.02	5139.4	0.02183	15.264275	2623.05137309471	2954.41765653153	TRUE	TRUE	11780
25	0.03	6464.35	0.02745	15.229835	2617.13311695156	2948.49939324381	TRUE	TRUE	13386
25	0.04	7812.6	0.03329	15.29313	2628.00988880349	2959.37617823871	TRUE	TRUE	14778
25	0.05	8891.5	0.037905	15.29494	2628.32092375178	2959.68721356364	TRUE	TRUE	15923
25	0.06	10126.75	0.043255	15.216315	2614.8098061776	2946.17607966953	TRUE	TRUE	17388
25	0.07	11312.4	0.048515	15.296065	2628.51424657875	2959.88053662474	TRUE	TRUE	18893
25	0.08	13016.7	0.05597	15.300335	2629.24801410869	2960.61430504346	TRUE	TRUE	20506
25	0.09	14047	0.06048	15.30026	2629.23512592023	2960.60141683938	TRUE	TRUE	21672
25	0.1	15499.25	0.067185	15.3267	2633.77864196044	2965.14493838847	TRUE	TRUE	23278
25	0.11	16538.15	0.07185	15.24335	2619.45556851296	2950.82184760697	TRUE	TRUE	24538
25	0.12	17513	0.076105	15.350715	2637.90543990694	2969.27174134683	TRUE	TRUE	25809
25	0.13	18940.1	0.082535	15.271805	2624.3453472166	2955.71163221767	TRUE	TRUE	27470
25	0.14	20263.35	0.08849	15.239565	2618.80514460176	2950.17142291086	TRUE	TRUE	28830
25	0.15	21733.6	0.095205	15.266225	2623.3864659948	2954.75274983663	TRUE	TRUE	29946
25	0.16	22769.15	0.09999	15.363015	2640.01910281521	2971.38540682511	TRUE	TRUE	31494
25	0.17	24161.5	0.10658	15.303865	2629.85461817912	2961.22090984883	TRUE	FALSE	32690
25	0.18	25024.95	0.11057	15.31701	2632.11348801075	2963.47978241873	TRUE	FALSE	34001
25	0.19	26084.15	0.115525	15.26389	2622.98521372725	2954.35149708412	TRUE	FALSE	35034
25	0.2	27535.7	0.122065	15.33888	2635.87168376716	2967.23798273614	TRUE	FALSE	36866
5	0	487.35	0.00204	3.04802	523.779416069229	855.144177629476	FALSE	TRUE	1876
50	0	5058.15	0.02189	30.38129	5220.7972177446	5552.1681953548	FALSE	TRUE	16912
50	0.0001	5070.35	0.02195	30.38129	5220.7972177446	5552.1681953548	FALSE	TRUE	16926
50	0.0002	5011.3	0.021695	30.419405	5227.34699512253	5558.71798849779	FALSE	TRUE	16905
50	0.0003	5019.1	0.02172	30.419415	5227.34871354766	5558.71970692706	FALSE	TRUE	16913
50	0.0004	4995.55	0.021615	30.495035	5240.34344437067	5571.71446908642	FALSE	TRUE	17117
50	0.0005	5065.2	0.02192	30.38549	5221.51895629864	5552.88993564507	FALSE	TRUE	16971
50	0.0006	5074.45	0.021965	30.385595	5221.53699976249	5552.90797915233	FALSE	TRUE	16981
50	0.0007	5081.4	0.02201	30.52186	5244.95311977833	5576.32415562885	FALSE	TRUE	17091
50	0.0008	5050	0.02188	30.506615	5242.33338066967	5573.70441019095	FALSE	TRUE	17030
50	0.0009	5135.25	0.02223	30.413905	5226.40186130176	5557.7728524009	FALSE	TRUE	17270
5	0.0001	495.95	0.002075	3.048025	523.780275281793	855.145036842247	FALSE	TRUE	1889
50	0.001	5179.85	0.02256	30.295285	5206.01790242546	5537.38884453502	FALSE	TRUE	17089
5	0.0002	539.05	0.00227	3.07643	528.661461859784	860.02622460372	FALSE	TRUE	1961
50	0.002	5224.85	0.02268	30.39379	5222.94524915544	5554.31623193369	FALSE	TRUE	17096
5	0.0003	545.8	0.00229	3.076455	528.665757922605	860.030520667588	FALSE	TRUE	1971
50	0.003	5552.65	0.02401	30.40342	5224.60009255435	5555.97107931552	FALSE	TRUE	17401
5	0.0004	567.45	0.002385	3.04307	522.928795630537	854.293556985667	FALSE	TRUE	1969
50	0.004	5533.5	0.02401	30.430715	5229.29053394306	5560.66153200015	FALSE	TRUE	17554
5	0.0005	551.2	0.002305	3.04518	523.291383332686	854.656144775209	FALSE	TRUE	1994
50	0.005	5725.75	0.02481	30.43844	5230.61801735496	5561.98901861085	TRUE	TRUE	17715
5	0.0006	565.45	0.002375	3.045205	523.295679395508	854.660440839067	FALSE	TRUE	2010
50	0.006	5821	0.02518	30.455655	5233.57628621396	5564.94729460124	TRUE	TRUE	17700
5	0.0007	609.1	0.00255	3.063315	526.407747303531	857.772509499673	FALSE	TRUE	2002
50	0.007	5890.45	0.025415	30.493665	5240.10802012804	5571.47904427538	TRUE	TRUE	17752
5	0.0008	631.15	0.00266	3.061555	526.105304480885	857.470066603692	FALSE	TRUE	2038
50	0.008	5901.3	0.02537	30.453475	5233.20166953591	5564.57267701989	TRUE	TRUE	17841
5	0.0009	657.55	0.00276	3.069175	527.414744428933	858.779506869549	FALSE	TRUE	2086
50	0.009	6259.35	0.02704	30.464895	5235.16411103286	5566.5351232495	TRUE	TRUE	18279
5	0.001	639.05	0.002675	3.02826	520.383808014975	851.748568758405	FALSE	TRUE	2011
50	0.01	6330.05	0.02737	30.50558	5242.15552366885	5573.52655276055	TRUE	TRUE	18262
5	0.002	761.2	0.00317	3.03578	521.676063711735	853.040824765393	FALSE	TRUE	2210
50	0.02	7734.45	0.03339	30.518775	5244.42298562614	5575.79402019561	TRUE	TRUE	19862
5	0.003	918.75	0.003845	3.06036	525.899952678009	857.264714751047	TRUE	TRUE	2382
50	0.03	8829.55	0.037985	30.42012	5227.46986251923	5558.84085619042	TRUE	TRUE	21132
5	0.004	1130.05	0.00473	3.06312	526.374238013522	857.739000201537	TRUE	TRUE	2535
50	0.04	10333.5	0.04468	30.50834	5242.62980900437	5574.00083924166	TRUE	TRUE	22772
5	0.005	1193.9	0.004995	3.06872	527.336556085578	858.701318507195	TRUE	TRUE	2664
50	0.05	11383.75	0.04932	30.48411	5238.4660649176	5569.8370851013	TRUE	TRUE	24132
5	0.006	1221.5	0.005115	3.038285	522.106529206467	853.471290363636	TRUE	TRUE	2731
50	0.06	12495.2	0.054225	30.537225	5247.59347998853	5578.96452222131	TRUE	TRUE	25238
5	0.007	1411.85	0.00592	3.060375	525.902530315702	857.267292389365	TRUE	TRUE	2917
50	0.07	13915.05	0.060325	30.391195	5222.49931783455	5553.87029953973	TRUE	TRUE	26927
5	0.008	1600.3	0.0067	3.053465	524.71509855179	856.07986033805	TRUE	TRUE	3114
50	0.08	15233.5	0.066265	30.59045	5256.73979773589	5588.11086210189	TRUE	TRUE	28274
5	0.009	1748.45	0.007325	3.05631	525.203990500897	856.568752405408	TRUE	TRUE	3361
50	0.09	16441.1	0.07169	30.42671	5228.60230467903	5559.97330107803	TRUE	TRUE	29739
5	0.01	1880.05	0.00788	3.0333	521.249894279825	852.614655231089	TRUE	TRUE	3443
50	0.1	17814.35	0.07788	30.48395	5238.43857011554	5569.80959023288	TRUE	TRUE	31197
50	0.11	18890.75	0.082845	30.605815	5259.38015794609	5590.75122870869	TRUE	TRUE	32274
50	0.12	20007.15	0.087885	30.57267	5253.68443785711	5585.05549482514	TRUE	TRUE	34094
50	0.13	21322.15	0.09373	30.516355	5244.007126745	5575.37816030965	TRUE	TRUE	34753
50	0.14	22642.35	0.10006	30.54887	5249.59458605087	5580.96563312284	TRUE	FALSE	36288
50	0.15	23821	0.10508	30.62736	5263.08250488581	5594.45358462321	TRUE	FALSE	37826
